,repl,TF
145,주예지가 호주 간다면 용접하러 가는건 아니겠지 물론ㅋ,0
146,걍 해본말인데 또 발기하노 ㄷㄷ,1
147,자기가 짠따다 싶으면 돈 많이 벌면 된다 나처럼,1
148,어이 나까무라! 빨리 일해!,0
149,왜 연돈만 저지랄이냐? 예전에 그 튀김덮밥집도 존나 칭찬했는데 거기도 줄서냐,1
150,그래야 계속 시켜먹지.,0
151,호다다다다다닥,0
152,저런애들이 아다랑 스시녀 찾았던 거냐?,1
153,번쎅,1
154, 내 말이 틀렸냐 이 씨발새끼야.,1
155,ㄴㄴ 영화계에선 타율로봄. 원빈은 나온영화 다 대박쳤고 다 연기력 좋게 평가받음 장동건은 친구 태극기 빼고 다좆망. 원빈은 태극기 아저씨 포함 나온건 다 흥. 이 차이야. 영화계에선 그래서 원빈 >>>>>>>>> 장동건 이렇게봄,1
156,18,1
157,결혼 남자한테 너무 불리한 제도다 결혼 하지 마라...,0
158,0렙인거 보면 모르냐? 분탕치러온 메갈이잖아..,0
159,존나 구라치고앉았노이기야 ㅋㅋ 세월호 타러가라이기야 돈 더많이준다,1
160,성섹스,1
161,기술자들 다 일본으로 떠나서 일본의 정교하고 세밀한 기술력의 원천이 되었지,0
162,플레이보지,1
163,삼국시대는 빨아도 됨,0
164,초반에 군기잡는거는 아닌거같음 그냥 성격이 존나 이상함,1
165,있어 그거,0
166,좃찐,1
167,색쓰,1
168,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
169,비잉신,1
170,"나경원 ""'우리' 일본"" 발언 논란",0
171,쪽빠리는 답없음,1
172,메뉴가 둘이 왜 겹치냐?,0
173,afpk는 따기 어렵지 않아서 많이들 갖고 있다. cfp는 갖고 있는 사람이 별로 없고,0
174,느금마개보지,1
175,긔/??워마드임?????,0
176,조선놈이 미국시민권 재미교포한테 개기는거 보소. 너 영어 첨부터 다시 공부해야겠다. 그지같은 또라이야. 어디서 영어도 제대로 못읽으면서 선동질이야. ㅁㅈㅎ.,1
177,...,0
178,에미,1
179,시바,1
180,틀딱드라마 조연으로 많이나옴,1
181,와 한가인은 진짜....여신..,0
182,뺑씬,1
183,역대급 추한 댓글 ,1
184,개 또라이,1
185,삿가시,1
186,"NLL같은 주제로는 진중권이 변희재 이기기 힘들어, 다른 주제는 모르겠지만",0
187,'유쾌하시네'라는 리플에 꽂혀서 ㅈㄴ 웃음 ㅋㅋㅋㅋㅋㅋㅋ,1
188,도둑한테 개꿀일 수도 ㅋㅋㅋ 사람 저렇게 많으니 주변 어슬렁 거려도 수상하게 보이지 않을 듯,0
189,어려울때일수록 전범국들끼리 힘을 합치겠다?,0
190,매춘부,1
191,썅넌,1
192,씨팔년,1
193,국민이 부유한거 맞음다만 진짜 국민은 소수이고 대부분이 외노자인거지,0
194,샤불년,1
195, 대다수가 못 살고 못 배운 넘들이라 평판이 안 좋음,0
196,태생자체가 천박한 전라도핏줄ㅜㅜ..굳이 여기까지와서 천성인 분탕질ㅜㅜ...여기온 전라도 새끼들은 맺힌게 많은듯ㅜㅜ,1
197,"우리나라였으면 남성1년 집해유예, 엄마 20년 때릴것같네요.  아님말구...",0
198,전두환 대통령때 가장 나라가 정의롭게 돌아갔다. 악을 제압했고 선을 보호했다.  그래서 국민들 다수가 행복할 수 있었다.,0
199,스티브유 그냥 지들 나라에서 살기를..,0
200,이미 알고 있어서 ㅁㅈㅎ주려고 했는데1렙이라 ㅁㅈㅎ 못줘서 속으로 애미 욕함,1
201,공항 식당에서 식사하고 있는데우리 테이블 좌측넘어에서 우측넘어에 있는 일행과 대화하더라,0
202,명문가 양반집 자손이면 이해라도 가는데 지금 대한민국 국민 99%는 그냥 쌍놈들이다.  쌍놈들이 뭔 제사냐? 지들이 양반집이라는놈들 족보는 다들 있고? 족보 있으면 대대손손 내려오는 문집들은 있고? 이건 정말로 위조가 불가능하거든 하루이틀만에 만들수도 없고 지식이 없으면 만드는것 자체가 불가능한게 문집이다. 문집없는것들 다 쌍놈들이다. 그리고 선조로부터 내려오는 선산들은 다 있냐? 이런거 하나라도 없는것들은 다 쌍놈들이다.,1
203,너를 청소해라 안착해져서 ㅁㅈㅎ,0
204, 이런 연구결과도 있다,0
205,조빱,1
206,돈 많고 체력 되면 비번휴무휴가 겹쳐가지고 존나 여행 다니지 ㅋㅋㅋㅋ,1
207, 같은 옷을 입어도 옷맵시부터가 다르다는걸 느낀딘,0
208,대통령님 잘하시다가 또 저러시네..,0
209,짜찌,1
210,전염병초기때 사이토카인 이야기하더만 현실이돼셰,0
211,아갈,1
212,그래야 본인이 평범해지니까. ,0
213,미개한 유럽짱개들...,1
214,너무 잘하고 있네요~~,0
215,부를 이루면 다음 단계는 명예욕이라는데 그 말이 맞다,0
216,화곡동은 뭐냐,0
217,저런 배달음식점에서 곱창을 직접 씻기는 하나?,0
218,난 인터넷이 발달되서 혼자 할수있는 취미거리 즐길거리가 많아지면서 연애에 대한 절실함이 줄어드는것도 한몫 한다고 봄,0
219,보지만 벌려주면공주 대접 해줄줄 알았나보네,1
220,쓰레기통에,0
221,준 라보 이름참.,0
222,보지걸,1
223,함의,0
224,속도감지리노,0
225,인증은 니애미보지에다 쑤셔박고옴?서강대에서 존홉 ㅋ 밑바닥새낀 뭐가달라도다르다,1
226,나는 저 안에 있는 사람 몇살인지가 제일 궁금함.. 그리고 목소리가 특이한거보면 성우인가?,0
227,호로색,1
228, 원래 사회주의 이론 자체가 존나 아름답거든,1
229,입이 좀 별론데,0
230,그렇게 되면 또 품귀현상이 일어날 것이고 뒷켠에서는 또 사재기를 하는 사람들이 생겨나겠죠~,0
231,정치병자틀딱ㅈㅎ,1
232,이만희총회장님께서 신천지구원으로 전세계에서 몰려 온다 하셨습니다.,0
233,신빙성있노,0
234,ㅋㅋㅋㅋ 존나 병신이네'돼'가 되야함 에서도 돼야함이 맞다 병신아..맞춤법 못맞추고 있으면서 지적질하는 꼬라지보소,1
235,일본얘기하면 부칸같은 쩌리를 들고 나오더라ㅋㅋㅋ,1
236,선관위 수개표해라 전자개표  못믿는다 ,0
237,캐나다 소설이 원작.서양권 전체에서 수시로 드라마 tv 영화 연극 등으로 만들어질정도로 이미 인기 ㅆㅅㅌㅊ그래서 일본이 이걸 눈여겨보고 애니화한거어제 25렙 국회의원허경영 이 개병신새끼가 빨강머리앤은 이전엔 듣보잡인지도엿는데일본덕에 재발굴되엇다는 개쓰레기같은 주장펼친 글이 일베왔더라,1
238,자지,1
239,10알,1
240,저열한 민족성   미국 이승만 박정희라는 변수가 있어서  본래  민족 모습을 잠시 벗어난거였지   원래 우리 민족 본 모습은 북괴임     다시 그길로 가는게 보이잖아,1
241,나도 여기서 막혔는데 ㅋㅋㅋㅋㅋ그대로 주변을 아끼지 않는 나쁜 사람이구나로 생각해서내용들이 이해가 안 됨,0
242,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ피로감 지랄 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ다른 시대에 살다왔냐강점기 시절에 살다온 산송장이면 ㅇㅈ,1
243,그새끼 칼침 놔줘라 ,1
244,편돌이주제에 ㅋㅋㅋㅋ ㅅㅂ 누굴 평가해 ㅅㅂ거 ,1
245,프리섹스,1
246,빠른 테크트리도 좋은 옵션인디 흠,0
247,쎡,1
248,처녀 구별법이나 특징 부탁해,1
249,"63,516",0
250,해결의 의지가 안보이는 일본이군요 ㅋ,0
251,니가 늑대냐? 왜 울프(울부)짖어,1
252,내일 얼굴공개 여부가 된다고 하는데 지켜봐야죠,0
253,닉갑 오지고 병신색기,1
254,씨발년아 웃겨?,1
255,그때까지 ㄱㄱ,0
256,안장 뜯어가야,0
257,예수믿는새끼들 전부 강간범새끼들이여..,1
258,미친스까이,1
259,얘도 헌법 강의해서 조무사 되면 저 사태 해결 가능함,0
260, 예를들면 조선이 -100 -> 일제가 -50라는 거임. 둘 다 지금처럼 완전히 자유롭지는 못해서 마이너스지만 어찌됐건 조선보단 나았다는 것,0
261,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
262,쌰앙년,1
263,높은 수요로 인해 실력이 없고 사명감만 뛰어난 병신들만 의사로 남아있겠지.,1
264,내가 볼땐 진심 담긴 사과라기보단 예쁘게 찍히려고 카메라 의식하는거 같노,0
265,개소리,1
266,반일선동 ㅁㅈㅎ,0
267,물론 내가 하는 말이 단순 핑계라고 보일 수가 있어.,0
268,미신당에서 금태섭이 데려다 싸던지...,0
269, 그래서 내가 아예 썅그지 동네도 개인택시 없으니 예시가 잘못됐다는 말인데 혼자 뭔 씹소리야,1
270,하도 욕처먹어서 오래 살겠네~ 그렇게 욕처먹으면서 댓글다는 이유가 뭔가? 이게 직업이니? 650원? 너도 참 애잔하다ㅠㅠ 나이 꽤나 먹었을텐데...,1
271,쪽국은 아직 시작도 안한셈..아마 제대로 검사시작하면 진정한 좀비국될듯...,0
272,기본 장애등급 나올거고 소송 승소하면 평생 연금각,0
273,훔형 쿨타임 돌았구나인버스에 미쳐서 훔형 잊어먹고 살았어미안해 훔형..,0
274,나도 그렇게 알고있었는대,0
275,씨발,1
276,색걸,1
277,부부섹스,1
278,쌕꺄,1
279,영어하는 놈들이 왜 자살이야,0
280,저런건 떠벌여야지~~~,1
281,예수는 지구최대의 사기꾼일수도 있음 ,0
282,ㅋㅋㅋㅋㅋ 근대 넌 짤닮음 ㅅㄱ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
283,A : 마스크쓰면 이쁘네!,0
284,시발새끼 남의 유골은 왜 버리나? 이 새끼 완전 또라이네.,1
285,너의 주장에는 확신만 있고 근거가 없다.,0
286,칼럼보니까 예전에 본게 생각나네 유나이티드는 에브라에서 반페르시까지 3-4번의 패스로 슈팅까지 가는 기본 훈련을 중요시하게 생각한다고 했었는데그떄당시에도 펠란이 있었고 그 철학은 역시 영감님으로부터 온것이고 솔샤르도 중요하게 생각하는듯,0
287,쟤들정 하나랑  결혼하기vs아다 메갈년이랑 결혼하기,1
288,죽음으로 보답받길,0
289,경찰들 일선에서 바로 선긋기 가능...  니들 이제 좃 된거야...,1
290,서울 집값 씹창나면 탈조선감,1
291,금리 10프로 옛말이다 .. 거기서 3년전까지 일했는데 그때도 7퍼 되나마나 했는데,0
292,장관 임명권은 대통령한테 있는데 저딴 종이조가리가 뭔 ㅋㅋㅋ 틀니 다 뽑아버릴라,1
293,다 거르고 자궁문신만 아니면 됨자궁문신은 그냥 자신이 걸레 of 걸레 인증하는거 ,1
294,생각하기 나름이겠지~,0
295,상놈의,1
296,시발 좃같다 ㅋㅋ,1
297,젊은 아줌마들 저런사람 많다 악랄하지,0
298,메퇘지년들한테 놀아나지좀마라 저능아새끼야 재미도없고 존나 억지구만ㅁㅈㅎ,1
299,97년생인데 안다 ㅈ꿀잼 이였는데,0
300,호모쎄끼,1
301,"150,000만원 무식한 새끼는 ㅁㅈㅎ",1
302,진짜 정신이 나갔네,0
303,백수 천지구나...제주도 까지 돈까스 먹으러 간다고하면..부모가 한숨 나오지,0
304,청진기 하나사서  폭딸해라게이야,1
305,ㅈ까는 소리하네 ㅋㅋ 걔네가 하는 땜질이랑 노가다 김씨 땜질이랑 같냐고 니 말하는게 지잡대 까니까 지잡대 재학생이 의대생은 공부 잘하거든? 이거란 똑같은 소리임,1
306,니말이 맞음,0
307,역시 베트남.. 개 싼마이 국가..,0
308,짱깨 새끼들은 핵실험 장소 가서 존나게 잘 뛰놀더만,1
309, 자 이거 책임지셔야죠 캐삭빵 가자니까요 한국출판사 번역된거 인증으로 ㅋㅋ 겁나요? ㅋㅋ,1
310,쟤 누가뽑았냐,0
311,개쉑꺄,1
312,댓글 이미지 올리기,0
313,다리기술이 얼마나 위험한지 잘 모르는거 같아서 잘못맞으면 사망이야.,0
314,도라에몽에 귀달고 눈 바꾸고 끝냈네,0
315,이래야지,0
316,배성재 저놈이 저러니깐 더 이상하다.논란되는 애들 존나 칼같이 컷하네 ㅋㅋㅋㅋ,1
317,진심으로 토나온다 ,1
318,어디가세요ㅜㅜ,0
319,뽀르노,1
320, 자영업자니?,0
321,씨밸년=틀딱용어ㅁㅈㅎ,1
322,짱구 아버지 사립 명문대 와세다 출신,0
323,"재수좆나게업는 허접하고,쓰잘데없이 메스컴나와 발공떠는여, 재수업서서 이쌍ㅇ나오면 채널돌려요. 이영자돼지같은ㅇ하고, 재수없어",1
324, 나 한 7등급 되노?ㅋㅋㅋ,0
325,각 집단마다 저런 쓰레기들 존나 많음.,1
326,개념 제대로 박힌 판사한테 양심도 없다고 욕이나 한바가지 듣길...,0
327,씨뽀랄,1
328,좋은 자료 감사해요!,0
329,앞차 블박보고 이미사고난거였으면 니 말이 맞는데 지금 증거로는 내말이 맞다,0
330,안전은 개뿔. 돈 못 갚으면 집 날라감,0
331,예상 ㅈㅎ 병신아,1
332,외계인이 없다는 쪽은 개신교가 압도적으로 많습니다.,0
333,싼타모!페리,0
334, 그리고 나 페도 아님 ㅡㅡ 그냥 일본엔 이런게 있다는게 충격적이고 신기해서 퍼온거임,0
335,ㅄ 누가 고백을 카톡으로 하냐,1
336,ㅂㅅ이노 ㅋㅋ 수요와 공급. ,1
337,배승희 끌어들이지 마라,0
338,재미있고 없고는 개인의 취향인데 그걸 가지고자기는 재미없는데 평점 좋네 마네 이러고 있어,0
339,아니 병신아내가 댓글 앞페이지에서 예지누나 이쁘냐고 물으니까 니가 니입으로 ㅈ같이 생겻다며? 왜 시비냐?그리고 좆같이 생긴 누나로 어떻게 딸잡냐?,1
340,아니  키좀 크고  착하게 생김..애새끼가 순진하게 행동했는데 오히려  거기서 여자들 무장해제...  들리는 소문엔  대물이라고 하더라,1
341,글쓴이 와꾸 승리에 비하면 방사능 피폭 원숭이 일듯..,1
342,아르유베다 안모이면 그게 회식인가요? 혼밥이지?,0
343,그거슨 주인님과 노예의 차이,0
344,이제 기름도 퍼부어야지?ㅋㅋㅋ,0
345,통계학과,0
346,왼쪽은 할아버지 아님?,0
347,씹놈,1
348,당연한 얘긴 쟤한테 하세영,0
349,십놈,1
350,내 글을 유일하게 이해한 새끼가 나타났네,1
351,다음 가봐라... 진짜 거기는 종교더라 ㅅㅂ 바로 탈퇴했다 카카오도 곧 탈퇴할거다 ,1
352,나 때는 SSKK 아니면 살기 힘들었지 난 5년 하고 추노해서 이민함. 이민 전에는 모른다.  SSKK 얼마나 미개한지... ,1
353,이쁘다,0
354,빤스 사랑교회,1
355,저걸 히죽거리며 얘기하노 씨발새끼,1
356,아 이 개병신새끼씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
357,다른 건 그런데 문씨거는 감동이다,0
358,씹때꺄,1
359,메친넘,1
360,씨방세,1
361,누가 유튜버로써 ㅅㅌㅊ인거 모른데? 대한민국 20손가락안에 드는것도 알아 그리고 뭐가 어쨌든 논란이되는 인물은 맞잖아? 페미들이랑 안좋은 접점있고 사실이든아니든 여자친구폭행사건으로 언론에서 오르락내리락거려서 공중파에도 못나옴스윙스같은 남자연예인은 그렇다쳐도 한예슬이 성향이 어떤진모르겠지만 쟤랑 굳이 엮여서 좋을게 없어보인다니까?,0
362,개구라,1
363,육시럴,1
364,노벨평화상은 따놓은 당상,0
365,시부럴,1
366,공군썰 흔치않아서 ㅇㅂ군생활 2년 1개월동안 가장 좆같았던 때가 말년에 BAT파견 나가서였음근데 규모가 작다는거 보니 전대급인가?,0
367,옛날에 게임하다가 알게된년이랑 만났는데 뚱녀였다 하루 먹고 연락 차단 했는데 자괴감 씹오진다 꼬추자르고 싶을정도로,1
368, 일본인들도 잘 모르는 듣보잡 강소 소재 기업이 많음. 그래서 공돌이도 취업이 잘돼.,0
369, 김밥은 어느 나라 음식이노? ㅋㅋㅋㅋ 이 씨발년아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
370,서지영 나랑 사귐,0
371,관장좀 하고나서 씨부려 아이참 냄새나,1
372,주작ㅋ ㅁㅈㅎ,0
373,제발 사형시켜라 좀,1
374,저렇게 안하면 나중에 분명 다른 나라에게 뒤집어 씌웁니다.,0
